,rt_id,critic_id,review_score
566,m/1018315-scanners,2620,62.5
567,m/1018315-scanners,5413,76.0
568,m/1018323-scarface,5952,100.0
569,m/1018323-scarface,2816,100.0
570,m/1018688-shadow_of_a_doubt,5979,87.5
572,m/1018699-shaft,4447,80.0
573,m/1018699-shaft,4447,80.0
574,m/1018891-short_circuit,2620,75.0
576,m/1018909-shot_in_the_dark,586,80.0
577,m/1018909-shot_in_the_dark,586,80.0
578,m/1019187-sleeping_beauty,1604,100.0
579,m/1019187-sleeping_beauty,1604,100.0
580,m/1019441-sorcerer,5242,100.0
581,m/1019441-sorcerer,903,60.0
583,m/1019544-spartacus,634,100.0
584,m/1019774-stagecoach,761,90.0
585,m/1019774-stagecoach,761,90.0
586,m/1019779-stakeout,5316,75.0
587,m/1019779-stakeout,743,40.0
589,m/1019829-star_is_born,5952,100.0
590,m/101_dalmatians,1957,80.0
591,m/101_dalmatians,853,82.0
592,m/1020130-sting,6314,100.0
593,m/1020130-sting,4169,90.0
594,m/1020287-stranger,2605,75.0
596,m/1020333-streetcar_named_desire,1798,80.0
597,m/1020333-streetcar_named_desire,5316,100.0
598,m/1020488-sunshine_boys,1219,60.0
599,m/1020488-sunshine_boys,4190,87.5
600,m/1020660-suspicion,853,79.0
601,m/1020660-suspicion,853,79.0
602,m/1020729-swing_time,5316,100.0
603,m/1020729-swing_time,3510,100.0
604,m/1021015-ten_commandments,3510,60.0
605,m/1021015-ten_commandments,3510,60.0
607,m/1021186-them,5785,60.0
608,m/1021230-thief,1219,90.0
609,m/1021230-thief,3671,60.0
610,m/1021242-thing,2620,50.0
612,m/1021244-thing,2574,75.0
613,m/1021244-thing,2574,75.0
614,m/1021500-time_machine,1798,70.0
615,m/1021500-time_machine,1798,70.0
616,m/1021648-tommy,2102,60.0
617,m/1021648-tommy,2102,60.0
618,m/1021699-top_secret,1219,90.0
619,m/1021699-top_secret,5242,80.0
621,m/1021749-touch_of_evil,2526,100.0
622,m/1022024-trip,1698,42.0
623,m/1022024-trip,1698,42.0
626,m/1022191-twins,5316,75.0
627,m/1022191-twins,3510,40.0
628,m/1022473-valley_girl,3558,75.0
